NAME	PATTERN	DO_SHIFTING	QUAD	INTERPOLATE_ENDING_BAR	INTERPOLATED_ENDING	DEFAULT_RESOLUTION	FLAGS	UNDERCHART
chimney	301210	TRUE	PATTERN,40123210	1	3210	16	DO_SHIFT_HIGHEST_TO_SECOND_LOWEST	BYNAME	ascend<2
reverse chimney	210120	TRUE	PATTERN,32101230	1	2101	16		BYNAME	descend
ascend	012	TRUE	AUTO	1	1	16		PATTERN	0-1
descend	210	TRUE	AUTO	1	1	16		PATTERN	1-0
trill	10	TRUE	FALSE	0		16		MODRES	/2
soulless strumming	22001100	TRUE	FALSE	0		32	ALL_NATURALS,ALLOW_OPENS	BYNAME	hammeron strumming
hammeron strumming	2010	TRUE	FALSE	0		16	ALL_STRUMS,ALLOW_OPENS	MODFLAGS	-ALL_STRUMS,-ALLOW_OPENS
castle	40302010	FALSE	FALSE	0		16	ALL_STRUMS	BYNAME	descend+4/2
mach a	4400330022001100	FALSE	FALSE	0		64	ALL_NATURALS	BYNAME	castle*2
conspiracy	3300220011002200	TRUE	FALSE	0		64	ALL_NATURALS,ALLOW_OPENS	PATTERN,MODRES	30201020	/2
enlightened solo a	424140	TRUE	FALSE	0		24		BYNAME	descend+4/2
stepping solo b	300100100100300100100100300100200100300100100100	TRUE	FALSE	0		24	ALL_NATURALS	PATTERN,MODRES,MODFLAGS	30101010301010103010201030101010	*2/3	-ALL_NATURALS
zigzag	2101	TRUE	BYNAME,quad zigzag	0		16		BYNAME	trill/2
quad zigzag	321012	TRUE	FALSE	1	3210	16		BYNAME	zigzag*2/3
